  #| i-cache size|i-cache assoc|d-cache size|d-cache assoc|l2-cache size|l2-cache assoc|cache line size| avg. cpi
  1|      32     |      2      |    128     |      2      |     2048    |      8       |      128      |  2.33  
  2|     128     |      4      |    128     |      2      |     2048    |      8       |      128      |  2.33  
  3|      64     |      4      |    128     |      2      |     2048    |      8       |      128      |  2.33  
  4|      32     |      4      |    128     |      2      |     2048    |      8       |      128      |  2.33  
  5|     128     |      4      |    128     |      8      |     2048    |      8       |      128      |  2.33  
  6|     128     |      4      |    128     |      4      |     2048    |      8       |      128      |  2.33  
  7|      32     |      2      |    128     |      8      |     2048    |      8       |      128      |  2.33  
  8|      64     |      4      |    128     |      8      |     2048    |      8       |      128      |  2.33  
  9|      32     |      2      |    128     |      4      |     2048    |      8       |      128      |  2.33  
 10|      64     |      4      |    128     |      4      |     2048    |      8       |      128      |  2.33  
 11|     128     |      2      |    128     |      8      |     2048    |      8       |      128      |  2.33  
 12|     128     |      2      |    128     |      2      |     2048    |      8       |      128      |  2.33  
 13|      32     |      4      |    128     |      4      |     2048    |      8       |      128      |  2.33  
 14|     128     |      2      |    128     |      4      |     2048    |      8       |      128      |  2.33  
 15|      64     |      2      |    128     |      2      |     2048    |      8       |      128      |  2.33  
 16|      32     |      4      |    128     |      8      |     2048    |      8       |      128      |  2.33  
 17|      64     |      2      |    128     |      8      |     2048    |      8       |      128      |  2.33  
 18|      64     |      2      |    128     |      4      |     2048    |      8       |      128      |  2.33  
 19|     128     |      1      |    128     |      2      |     2048    |      8       |      128      |  2.33  
 20|      64     |      1      |    128     |      2      |     2048    |      8       |      128      |  2.33  
 21|      64     |      1      |    128     |      8      |     2048    |      8       |      128      |  2.33  
 22|      32     |      2      |     64     |      8      |     2048    |      8       |      128      |  2.33  
 23|      64     |      1      |    128     |      4      |     2048    |      8       |      128      |  2.33  
 24|     128     |      1      |    128     |      8      |     2048    |      8       |      128      |  2.33  
 25|     128     |      1      |    128     |      4      |     2048    |      8       |      128      |  2.33  
 26|      32     |      2      |     64     |      4      |     2048    |      8       |      128      |  2.33  
 27|      64     |      2      |     64     |      8      |     2048    |      8       |      128      |  2.33  
 28|     128     |      4      |     64     |      4      |     2048    |      8       |      128      |  2.33  
 29|     128     |      4      |     64     |      8      |     2048    |      8       |      128      |  2.33  
 30|      64     |      2      |     64     |      4      |     2048    |      8       |      128      |  2.33  
 31|     128     |      2      |     64     |      8      |     2048    |      8       |      128      |  2.33  
 32|     128     |      2      |     64     |      4      |     2048    |      8       |      128      |  2.33  
 33|      64     |      4      |     64     |      4      |     2048    |      8       |      128      |  2.33  
 34|      64     |      4      |     64     |      8      |     2048    |      8       |      128      |  2.33  
 35|      32     |      2      |     32     |      8      |     2048    |      8       |      128      |  2.33  
 36|      32     |      2      |     32     |      4      |     2048    |      8       |      128      |  2.33  
 37|     128     |      4      |     32     |      8      |     2048    |      8       |      128      |  2.33  
 38|      64     |      2      |     64     |      2      |     2048    |      8       |      128      |  2.33  
 39|      64     |      2      |     16     |      8      |     2048    |      8       |      128      |  2.33  
 40|      64     |      2      |     32     |      8      |     2048    |      8       |      128      |  2.33  
 41|      32     |      2      |     64     |      2      |     2048    |      8       |      128      |  2.33  
 42|     128     |      1      |     64     |      4      |     2048    |      8       |      128      |  2.33  
 43|      64     |      2      |     32     |      4      |     2048    |      8       |      128      |  2.33  
 44|     128     |      1      |     64     |      8      |     2048    |      8       |      128      |  2.33  
 45|      32     |      4      |     64     |      4      |     2048    |      8       |      128      |  2.33  
 46|     128     |      2      |     32     |      8      |     2048    |      8       |      128      |  2.33  
 47|      64     |      4      |     32     |      8      |     2048    |      8       |      128      |  2.33  
 48|     128     |      2      |     32     |      4      |     2048    |      8       |      128      |  2.33  
 49|      64     |      4      |     32     |      4      |     2048    |      8       |      128      |  2.33  
 50|     128     |      4      |     64     |      2      |     2048    |      8       |      128      |  2.33  
 51|      32     |      4      |     64     |      8      |     2048    |      8       |      128      |  2.33  
 52|     128     |      4      |     32     |      4      |     2048    |      8       |      128      |  2.33  
 53|     128     |      1      |     16     |      8      |     2048    |      8       |      128      |  2.33  
 54|      64     |      4      |     64     |      2      |     2048    |      8       |      128      |  2.33  
 55|      64     |      1      |     64     |      8      |     2048    |      8       |      128      |  2.33  
