  #| i-cache size|i-cache assoc|d-cache size|d-cache assoc|l2-cache size|l2-cache assoc|cache line size| avg. cpi
 83|      64     |      1      |     16     |      4      |     2048    |      8       |      128      |  2.33  
 84|      32     |      2      |     32     |      2      |     2048    |      16      |      128      |  2.33  
 85|      32     |      2      |     32     |      2      |     2048    |      8       |      128      |  2.33  
 86|      64     |      2      |     32     |      2      |     2048    |      8       |      128      |  2.33  
 87|     128     |      4      |     32     |      2      |     2048    |      8       |      128      |  2.33  
 88|      64     |      4      |     32     |      2      |     2048    |      8       |      128      |  2.33  
 89|     128     |      2      |     32     |      2      |     2048    |      8       |      128      |  2.33  
 90|     128     |      1      |     32     |      2      |     2048    |      8       |      128      |  2.33  
 91|      32     |      4      |     32     |      2      |     2048    |      8       |      128      |  2.33  
 92|      32     |      2      |     32     |      2      |     2048    |      4       |      128      |  2.33  
 93|      16     |      4      |    128     |      4      |     2048    |      8       |      128      |  2.33  
 94|      64     |      1      |     32     |      2      |     2048    |      8       |      128      |  2.33  
 95|      16     |      4      |    128     |      8      |     2048    |      8       |      128      |  2.33  
 96|      16     |      4      |    128     |      2      |     2048    |      8       |      128      |  2.33  
 97|      16     |      4      |     64     |      4      |     2048    |      8       |      128      |  2.34  
 98|      16     |      4      |     64     |      8      |     2048    |      8       |      128      |  2.34  
 99|      16     |      4      |     32     |      8      |     2048    |      8       |      128      |  2.34  
100|      16     |      4      |     32     |      4      |     2048    |      8       |      128      |  2.34  
101|      16     |      4      |     64     |      2      |     2048    |      8       |      128      |  2.34  
102|      16     |      4      |     16     |      8      |     2048    |      8       |      128      |  2.34  
103|      16     |      4      |     16     |      4      |     2048    |      8       |      128      |  2.34  
104|     128     |      4      |     16     |      2      |     2048    |      8       |      128      |  2.34  
105|      16     |      4      |     32     |      2      |     2048    |      8       |      128      |  2.34  
106|      64     |      2      |     16     |      2      |     2048    |      8       |      128      |  2.34  
107|      64     |      4      |     16     |      2      |     2048    |      8       |      128      |  2.34  
108|     128     |      2      |     16     |      2      |     2048    |      8       |      128      |  2.34  
109|      32     |      4      |     16     |      2      |     2048    |      8       |      128      |  2.34  
110|      32     |      2      |     16     |      2      |     2048    |      8       |      128      |  2.34  
111|     128     |      1      |     16     |      2      |     2048    |      8       |      128      |  2.34  
112|      64     |      1      |     16     |      2      |     2048    |      8       |      128      |  2.34  
113|      32     |      2      |     32     |      2      |     1024    |      16      |      128      |  2.35  
114|      32     |      2      |     32     |      2      |     1024    |      4       |      128      |  2.35  
115|      32     |      2      |     32     |      2      |     1024    |      8       |      128      |  2.35  
116|      16     |      4      |     16     |      2      |     2048    |      8       |      128      |  2.35  
117|      32     |      2      |     32     |      2      |     512     |      16      |      128      |  2.35  
118|      32     |      2      |     32     |      2      |     512     |      8       |      128      |  2.35  
119|      32     |      2      |     32     |      2      |     512     |      4       |      128      |  2.35  
120|      32     |      2      |     32     |      2      |     256     |      8       |      128      |  2.36  
121|      32     |      2      |     32     |      2      |     256     |      16      |      128      |  2.36  
122|      32     |      2      |     32     |      2      |     256     |      4       |      128      |  2.36  
123|      32     |      1      |    128     |      2      |     2048    |      8       |      128      |  2.36  
124|      32     |      1      |    128     |      4      |     2048    |      8       |      128      |  2.36  
125|      32     |      1      |    128     |      8      |     2048    |      8       |      128      |  2.36  
126|      32     |      1      |     64     |      4      |     2048    |      8       |      128      |  2.36  
127|      32     |      1      |     64     |      8      |     2048    |      8       |      128      |  2.36  
128|      32     |      1      |     32     |      8      |     2048    |      8       |      128      |  2.36  
129|      32     |      1      |     32     |      4      |     2048    |      8       |      128      |  2.36  
130|      32     |      1      |     64     |      2      |     2048    |      8       |      128      |  2.36  
131|      32     |      1      |     16     |      8      |     2048    |      8       |      128      |  2.36  
132|      32     |      1      |     16     |      4      |     2048    |      8       |      128      |  2.36  
133|      16     |      2      |    128     |      2      |     2048    |      8       |      128      |  2.36  
134|      16     |      2      |    128     |      4      |     2048    |      8       |      128      |  2.36  
135|      16     |      2      |    128     |      8      |     2048    |      8       |      128      |  2.36  
136|      16     |      2      |     64     |      4      |     2048    |      8       |      128      |  2.36  
137|      16     |      2      |     64     |      8      |     2048    |      8       |      128      |  2.36  
138|      16     |      2      |     16     |      8      |     2048    |      8       |      128      |  2.36  
139|      16     |      2      |     32     |      8      |     2048    |      8       |      128      |  2.36  
140|      16     |      2      |     64     |      2      |     2048    |      8       |      128      |  2.36  
141|      16     |      2      |     32     |      4      |     2048    |      8       |      128      |  2.36  
142|      16     |      2      |     16     |      4      |     2048    |      8       |      128      |  2.36  
143|      32     |      1      |     32     |      2      |     2048    |      8       |      128      |  2.36  
144|      16     |      2      |     32     |      2      |     2048    |      8       |      128      |  2.37  
145|      32     |      1      |     16     |      2      |     2048    |      8       |      128      |  2.37  
146|      16     |      2      |     16     |      2      |     2048    |      8       |      128      |  2.37  
147|      16     |      1      |    128     |      2      |     2048    |      8       |      128      |  2.41  
148|      16     |      1      |    128     |      4      |     2048    |      8       |      128      |  2.41  
149|      16     |      1      |    128     |      8      |     2048    |      8       |      128      |  2.41  
150|      16     |      1      |     64     |      2      |     2048    |      8       |      128      |  2.41  
151|      16     |      1      |     64     |      8      |     2048    |      8       |      128      |  2.41  
152|      16     |      1      |     64     |      4      |     2048    |      8       |      128      |  2.41  
153|      16     |      1      |     32     |      8      |     2048    |      8       |      128      |  2.41  
154|      16     |      1      |     32     |      4      |     2048    |      8       |      128      |  2.41  
155|      16     |      1      |     16     |      8      |     2048    |      8       |      128      |  2.41  
156|      16     |      1      |     16     |      4      |     2048    |      8       |      128      |  2.41  
157|      16     |      1      |     32     |      2      |     2048    |      8       |      128      |  2.41  
158|      16     |      1      |     16     |      2      |     2048    |      8       |      128      |  2.42  
159|      32     |      2      |     32     |      2      |     4096    |      16      |       64      |  2.85  
160|      32     |      2      |     32     |      2      |     4096    |      8       |       64      |  2.85  
161|      32     |      2      |     32     |      2      |     4096    |      4       |       64      |  2.86  
162|      32     |      4      |    128     |      2      |     2048    |      8       |       64      |  2.87  
163|     128     |      1      |    128     |      2      |     2048    |      8       |       64      |  2.87  
164|     128     |      1      |    128     |      8      |     2048    |      8       |       64      |  2.87  
165|     128     |      2      |    128     |      2      |     2048    |      8       |       64      |  2.87  
166|     128     |      4      |    128     |      2      |     2048    |      8       |       64      |  2.87  
167|     128     |      1      |    128     |      4      |     2048    |      8       |       64      |  2.87  
168|      64     |      4      |    128     |      2      |     2048    |      8       |       64      |  2.87  
169|      32     |      4      |    128     |      4      |     2048    |      8       |       64      |  2.87  
170|      64     |      4      |    128     |      8      |     2048    |      8       |       64      |  2.87  
171|      16     |      4      |    128     |      4      |     2048    |      8       |       64      |  2.87  
172|      16     |      4      |    128     |      8      |     2048    |      8       |       64      |  2.87  
173|     128     |      2      |    128     |      8      |     2048    |      8       |       64      |  2.87  
174|     128     |      2      |    128     |      4      |     2048    |      8       |       64      |  2.87  
175|     128     |      4      |    128     |      8      |     2048    |      8       |       64      |  2.87  
176|     128     |      4      |    128     |      4      |     2048    |      8       |       64      |  2.87  
177|      64     |      4      |    128     |      4      |     2048    |      8       |       64      |  2.87  
178|      32     |      4      |    128     |      8      |     2048    |      8       |       64      |  2.87  
179|      64     |      2      |    128     |      2      |     2048    |      8       |       64      |  2.87  
180|      16     |      4      |    128     |      2      |     2048    |      8       |       64      |  2.87  
181|      64     |      2      |    128     |      8      |     2048    |      8       |       64      |  2.87  
182|      64     |      1      |    128     |      4      |     2048    |      8       |       64      |  2.87  
183|      64     |      2      |    128     |      4      |     2048    |      8       |       64      |  2.87  
184|      64     |      1      |    128     |      8      |     2048    |      8       |       64      |  2.87  
185|      64     |      1      |    128     |      2      |     2048    |      8       |       64      |  2.87  
186|     128     |      1      |     64     |      2      |     2048    |      8       |       64      |  2.87  
187|      32     |      2      |    128     |      8      |     2048    |      8       |       64      |  2.87  
188|      32     |      2      |    128     |      2      |     2048    |      8       |       64      |  2.87  
189|      32     |      2      |    128     |      4      |     2048    |      8       |       64      |  2.87  
190|     128     |      1      |     64     |      8      |     2048    |      8       |       64      |  2.87  
191|     128     |      1      |     64     |      4      |     2048    |      8       |       64      |  2.88  
192|     128     |      2      |     64     |      8      |     2048    |      8       |       64      |  2.88  
193|     128     |      4      |     64     |      8      |     2048    |      8       |       64      |  2.88  
194|      64     |      4      |     64     |      8      |     2048    |      8       |       64      |  2.88  
195|     128     |      2      |     64     |      4      |     2048    |      8       |       64      |  2.88  
196|      32     |      4      |     64     |      8      |     2048    |      8       |       64      |  2.88  
197|     128     |      4      |     64     |      4      |     2048    |      8       |       64      |  2.88  
198|      64     |      4      |     64     |      4      |     2048    |      8       |       64      |  2.88  
199|      32     |      4      |     64     |      4      |     2048    |      8       |       64      |  2.88  
200|     128     |      4      |     64     |      2      |     2048    |      8       |       64      |  2.88  
201|      64     |      4      |     64     |      2      |     2048    |      8       |       64      |  2.88  
202|     128     |      1      |     32     |      4      |     2048    |      8       |       64      |  2.88  
203|     128     |      1      |     32     |      8      |     2048    |      8       |       64      |  2.88  
204|      64     |      4      |     32     |      8      |     2048    |      8       |       64      |  2.88  
205|     128     |      4      |     32     |      4      |     2048    |      8       |       64      |  2.88  
206|      32     |      4      |     32     |      8      |     2048    |      8       |       64      |  2.88  
207|      64     |      2      |     64     |      8      |     2048    |      8       |       64      |  2.88  
208|     128     |      2      |     64     |      2      |     2048    |      8       |       64      |  2.88  
209|      32     |      4      |     64     |      2      |     2048    |      8       |       64      |  2.88  
210|      16     |      4      |     64     |      8      |     2048    |      8       |       64      |  2.88  
211|      32     |      4      |     32     |      4      |     2048    |      8       |       64      |  2.88  
212|      64     |      4      |     32     |      4      |     2048    |      8       |       64      |  2.88  
